ticker,name,days_since_ipo,morningstar_sector,morningstar_industry,fossil_fuels,weapons,tobacco
PNW,Pinnacle West Capital Corp,14452,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
PODD,Insulet Corp,6401,Healthcare,Medical Devices,FALSE,FALSE,FALSE
POOL,Pool Corp,10633,Industrials,Industrial Distribution,FALSE,FALSE,FALSE
PPG,PPG Industries Inc,28830,Basic Materials,Specialty Chemicals,FALSE,FALSE,FALSE
PPL,PPL Corp,27825,Utilities,Utilities - Regulated Electric,TRUE,FALSE,FALSE
PRU,Prudential Financial Inc,8380,Financial Services,Insurance - Life,FALSE,FALSE,FALSE
PSA,Public Storage,14644,Real Estate,REIT - Industrial,FALSE,FALSE,FALSE
PSX,Phillips 66,4607,Energy,Oil & Gas Refining & Marketing,TRUE,FALSE,FALSE
PTC,PTC Inc,12769,Technology,Software - Application,FALSE,FALSE,FALSE
PWR,Quanta Services Inc,9779,Industrials,Engineering & Construction,FALSE,FALSE,FALSE
PYPL,PayPal Holdings Inc,3413,Financial Services,Credit Services,FALSE,FALSE,FALSE
QCOM,Qualcomm Inc,12033,Technology,Semiconductors,FALSE,FALSE,FALSE
QRVO,Qorvo Inc,3612,Technology,Semiconductors,FALSE,FALSE,FALSE
RCL,Royal Caribbean Group,11532,Consumer Cyclical,Travel Services,FALSE,FALSE,TRUE
REG,Regency Centers Corp,11347,Real Estate,REIT - Retail,FALSE,FALSE,FALSE
REGN,Regeneron Pharmaceuticals Inc,12288,Healthcare,Biotechnology,FALSE,FALSE,FALSE
RF,Regions Financial Corp,15727,Financial Services,Banks - Regional,FALSE,FALSE,FALSE
RJF,Raymond James Financial Inc,14105,Financial Services,Asset Management,FALSE,FALSE,FALSE
RL,Ralph Lauren Corp,10025,Consumer Cyclical,Apparel Manufacturing,FALSE,FALSE,FALSE
RMD,ResMed Inc,10766,Healthcare,Medical Instruments & Supplies,FALSE,FALSE,FALSE
ROK,Rockwell Automation Inc,24922,Industrials,Specialty Industrial Machinery,FALSE,FALSE,FALSE
